dataset_id,library_id,sample_id,rna_assay,tcr_assay,tcr_scope,active,notes
GSE161918,GSM4929198,GSM4929198,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929199,GSM4929199,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929200,GSM4929200,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929201,GSM4929201,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929202,GSM4929202,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929203,GSM4929203,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929204,GSM4929204,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929205,GSM4929205,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929206,GSM4929206,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929207,GSM4929207,10x (unspecified),vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929208,GSM4929208,10x 5',vdj,unspecified_ab_or_gd,true,Peripheral Blood Mononuclear Cells; molecule: T cell receptor VDJ region reads from mulitmodal scRNAseq
GSE161918,GSM4929209,GSM4929209,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929210,GSM4929210,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929211,GSM4929211,10x (unspecified),none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929212,GSM4929212,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929213,GSM4929213,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929214,GSM4929214,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929215,GSM4929215,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929216,GSM4929216,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929217,GSM4929217,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929218,GSM4929218,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929219,GSM4929219,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929220,GSM4929220,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929221,GSM4929221,10x (unspecified),none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929222,GSM4929222,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929223,GSM4929223,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929224,GSM4929224,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929225,GSM4929225,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929226,GSM4929226,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929227,GSM4929227,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929228,GSM4929228,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929229,GSM4929229,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929230,GSM4929230,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929231,GSM4929231,10x (unspecified),none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929232,GSM4929232,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929233,GSM4929233,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929234,GSM4929234,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929235,GSM4929235,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929236,GSM4929236,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929237,GSM4929237,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929238,GSM4929238,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929239,GSM4929239,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929240,GSM4929240,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929241,GSM4929241,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929242,GSM4929242,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929243,GSM4929243,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929244,GSM4929244,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929245,GSM4929245,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929246,GSM4929246,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929247,GSM4929247,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929248,GSM4929248,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929249,GSM4929249,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929250,GSM4929250,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929251,GSM4929251,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929252,GSM4929252,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929253,GSM4929253,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929254,GSM4929254,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929255,GSM4929255,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929256,GSM4929256,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929257,GSM4929257,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929258,GSM4929258,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929259,GSM4929259,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929260,GSM4929260,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929261,GSM4929261,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929262,GSM4929262,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929263,GSM4929263,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929264,GSM4929264,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929265,GSM4929265,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929266,GSM4929266,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929267,GSM4929267,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929268,GSM4929268,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929269,GSM4929269,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929270,GSM4929270,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929271,GSM4929271,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929272,GSM4929272,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929273,GSM4929273,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929274,GSM4929274,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929275,GSM4929275,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929276,GSM4929276,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929277,GSM4929277,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929278,GSM4929278,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929279,GSM4929279,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929280,GSM4929280,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929281,GSM4929281,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929282,GSM4929282,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929283,GSM4929283,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929284,GSM4929284,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929285,GSM4929285,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929286,GSM4929286,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929287,GSM4929287,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929288,GSM4929288,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929289,GSM4929289,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929290,GSM4929290,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929291,GSM4929291,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929292,GSM4929292,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929293,GSM4929293,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929294,GSM4929294,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929295,GSM4929295,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929296,GSM4929296,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929297,GSM4929297,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929298,GSM4929298,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929299,GSM4929299,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929300,GSM4929300,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929301,GSM4929301,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929302,GSM4929302,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929303,GSM4929303,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929304,GSM4929304,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE161918,GSM4929305,GSM4929305,10x 5',none,none,true,Peripheral Blood Mononuclear Cells
GSE162498,GSM4952953,GSM4952953,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952954,GSM4952954,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952955,GSM4952955,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952956,GSM4952956,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952957,GSM4952957,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952958,GSM4952958,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952959,GSM4952959,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952960,GSM4952960,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952961,GSM4952961,10x 5',vdj,unspecified_ab_or_gd,true,Blood sample
GSE162498,GSM4952962,GSM4952962,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952963,GSM4952963,10x 5',vdj,unspecified_ab_or_gd,true,Blood sample
GSE162498,GSM4952964,GSM4952964,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952965,GSM4952965,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC juxta tissue
GSE162498,GSM4952966,GSM4952966,10x 5',vdj,unspecified_ab_or_gd,true,Blood sample
GSE162498,GSM4952967,GSM4952967,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC tumor tissue
GSE162498,GSM4952968,GSM4952968,10x 5',vdj,unspecified_ab_or_gd,true,NSCLC juxta tissue
GSE162498,GSM4952969,GSM4952969,10x 5',vdj,unspecified_ab_or_gd,true,Blood sample
GSE162499,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE168163,__dataset_level_no_sample_id__,__dataset_level_no_sample_id__,unknown,vdj,no;yes,true,Derived from selected H5AD obs because the sample-information manifest had no row.
GSE168859,GSM5171588,GSM5171588,10x 5',none,none,true,Human peripheral blood; subject: UPN24
GSE168859,GSM5171589,GSM5171589,10x 5',none,none,true,Human peripheral blood; subject: UPN24
GSE168859,GSM5171590,GSM5171590,10x 5',none,none,true,Human peripheral blood; subject: UPN10
GSE168859,GSM5171591,GSM5171591,10x 5',none,none,true,Human peripheral blood; subject: UPN10
GSE168859,GSM5171592,GSM5171592,10x 5',none,none,true,Human peripheral blood; subject: UPN19
GSE168859,GSM5171593,GSM5171593,10x 5',none,none,true,Human peripheral blood; subject: UPN19
GSE168859,GSM5171594,GSM5171594,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor1
GSE168859,GSM5171595,GSM5171595,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor2
GSE168859,GSM5171596,GSM5171596,10x 5',none,none,true,Human peripheral blood; subject: UPN18
GSE168859,GSM5171597,GSM5171597,10x 5',none,none,true,Human peripheral blood; subject: UPN18
GSE168859,GSM5171598,GSM5171598,10x 5',none,none,true,Human peripheral blood; subject: UPN4
GSE168859,GSM5171599,GSM5171599,10x 5',none,none,true,Human peripheral blood; subject: UPN4
GSE168859,GSM5171600,GSM5171600,10x 5',none,none,true,Human peripheral blood; subject: UPN17
GSE168859,GSM5171601,GSM5171601,10x 5',none,none,true,Human peripheral blood; subject: UPN17
GSE168859,GSM5171602,GSM5171602,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor3
GSE168859,GSM5171603,GSM5171603,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor4
GSE168859,GSM5171604,GSM5171604,10x 5',none,none,true,Human peripheral blood; subject: UPN1
GSE168859,GSM5171605,GSM5171605,10x 5',none,none,true,Human peripheral blood; subject: UPN1
GSE168859,GSM5171606,GSM5171606,10x 5',none,none,true,Human peripheral blood; subject: UPN12
GSE168859,GSM5171607,GSM5171607,10x 5',none,none,true,Human peripheral blood; subject: UPN12
GSE168859,GSM5171608,GSM5171608,10x 5',none,none,true,Human peripheral blood; subject: UPN8
GSE168859,GSM5171609,GSM5171609,10x 5',none,none,true,Human peripheral blood; subject: UPN13
GSE168859,GSM5171610,GSM5171610,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor5
GSE168859,GSM5171611,GSM5171611,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor6
GSE168859,GSM5171612,GSM5171612,10x 5',none,none,true,Human peripheral blood; subject: UPN8
GSE168859,GSM5171613,GSM5171613,10x 5',none,none,true,Human peripheral blood; subject: UPN13
GSE168859,GSM5171614,GSM5171614,10x 5',none,none,true,Human peripheral blood; subject: UPN14
GSE168859,GSM5171615,GSM5171615,10x 5',none,none,true,Human peripheral blood; subject: UPN14
GSE168859,GSM5171616,GSM5171616,10x 5',none,none,true,Human peripheral blood; subject: UPN15
GSE168859,GSM5171617,GSM5171617,10x 5',none,none,true,Human peripheral blood; subject: UPN15
GSE168859,GSM5171618,GSM5171618,10x 5',none,none,true,Human peripheral blood; subject: UPN6
GSE168859,GSM5171619,GSM5171619,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor7
GSE168859,GSM5171620,GSM5171620,10x 5',none,none,true,Human peripheral blood; subject: UPN24
GSE168859,GSM5171621,GSM5171621,10x 5',none,none,true,Human peripheral blood; subject: UPN24
GSE168859,GSM5171622,GSM5171622,10x 5',none,none,true,Human peripheral blood; subject: UPN10
GSE168859,GSM5171623,GSM5171623,10x 5',none,none,true,Human peripheral blood; subject: UPN10
GSE168859,GSM5171624,GSM5171624,10x 5',none,none,true,Human peripheral blood; subject: UPN19
GSE168859,GSM5171625,GSM5171625,10x 5',none,none,true,Human peripheral blood; subject: UPN19
GSE168859,GSM5171626,GSM5171626,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor1
GSE168859,GSM5171627,GSM5171627,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor2
GSE168859,GSM5171628,GSM5171628,10x 5',none,none,true,Human peripheral blood; subject: UPN18
GSE168859,GSM5171629,GSM5171629,10x 5',none,none,true,Human peripheral blood; subject: UPN18
GSE168859,GSM5171630,GSM5171630,10x 5',none,none,true,Human peripheral blood; subject: UPN4
GSE168859,GSM5171631,GSM5171631,10x 5',none,none,true,Human peripheral blood; subject: UPN4
GSE168859,GSM5171632,GSM5171632,10x 5',none,none,true,Human peripheral blood; subject: UPN17
GSE168859,GSM5171633,GSM5171633,10x 5',none,none,true,Human peripheral blood; subject: UPN17
GSE168859,GSM5171634,GSM5171634,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor3
GSE168859,GSM5171635,GSM5171635,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor4
GSE168859,GSM5171636,GSM5171636,10x 5',none,none,true,Human peripheral blood; subject: UPN1
GSE168859,GSM5171637,GSM5171637,10x 5',none,none,true,Human peripheral blood; subject: UPN1
GSE168859,GSM5171638,GSM5171638,10x 5',none,none,true,Human peripheral blood; subject: UPN12
GSE168859,GSM5171639,GSM5171639,10x 5',none,none,true,Human peripheral blood; subject: UPN12
GSE168859,GSM5171640,GSM5171640,10x 5',none,none,true,Human peripheral blood; subject: UPN8
GSE168859,GSM5171641,GSM5171641,10x 5',none,none,true,Human peripheral blood; subject: UPN13
GSE168859,GSM5171642,GSM5171642,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor5
GSE168859,GSM5171643,GSM5171643,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor6
GSE168859,GSM5171644,GSM5171644,10x 5',none,none,true,Human peripheral blood; subject: UPN8
GSE168859,GSM5171645,GSM5171645,10x 5',none,none,true,Human peripheral blood; subject: UPN13
GSE168859,GSM5171646,GSM5171646,10x 5',none,none,true,Human peripheral blood; subject: UPN14
GSE168859,GSM5171647,GSM5171647,10x 5',none,none,true,Human peripheral blood; subject: UPN14
GSE168859,GSM5171648,GSM5171648,10x 5',none,none,true,Human peripheral blood; subject: UPN15
GSE168859,GSM5171649,GSM5171649,10x 5',none,none,true,Human peripheral blood; subject: UPN15
GSE168859,GSM5171650,GSM5171650,10x 5',none,none,true,Human peripheral blood; subject: UPN6
GSE168859,GSM5171651,GSM5171651,10x 5',none,none,true,Human peripheral blood; subject: Healthydonor7
GSE169441,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE171037,GSM5216975,GSM5216975,10x (unspecified),none,none,true,GT_6 PBMC_1; number of cells: 6050
GSE171037,GSM5216976,GSM5216976,10x (unspecified),none,none,true,GT_6 PBMC_2; number of cells: 5252
GSE171037,GSM5216977,GSM5216977,10x (unspecified),none,none,true,GT PBMC_1; number of cells: 0
GSE171037,GSM5216978,GSM5216978,10x (unspecified),none,none,true,GT PBMC_1; number of cells: 0
GSE171037,GSM5216979,GSM5216979,10x (unspecified),none,none,true,GT_6 TA_1; number of cells: 1950
GSE171037,GSM5216980,GSM5216980,10x (unspecified),none,none,true,GT_5 TA_1; number of cells: 1976
GSE171037,GSM5216981,GSM5216981,10x (unspecified),none,none,true,GT_6 TA_2; number of cells: 2393
GSE171037,GSM5216982,GSM5216982,10x (unspecified),none,none,true,GH_7 TA; number of cells: 5767
GSE171037,GSM5216983,GSM5216983,10x (unspecified),none,none,true,GT_5 TA_2; number of cells: 2166
GSE171037,GSM5216984,GSM5216984,10x (unspecified),none,none,true,GH_1; number of cells: 3047
GSE171037,GSM5216985,GSM5216985,10x (unspecified),none,none,true,GH_2; number of cells: 2104
GSE171037,GSM5216986,GSM5216986,10x (unspecified),none,none,true,GH_3; number of cells: 2393
GSE171037,GSM5216987,GSM5216987,10x (unspecified),none,none,true,GT_2; number of cells: 4473
GSE171037,GSM5216988,GSM5216988,10x (unspecified),none,none,true,GT_3; number of cells: 4980
GSE175930,__dataset_level_pending_curation__,,unknown,unknown,unknown,false,No row in sample_information_final_full.csv; curate before activation.
GSE178882,GSM5399838,GSM5399838,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399839,GSM5399839,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399840,GSM5399840,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399841,GSM5399841,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399842,GSM5399842,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399843,GSM5399843,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399844,GSM5399844,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399845,GSM5399845,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399846,GSM5399846,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399847,GSM5399847,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399848,GSM5399848,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399849,GSM5399849,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399850,GSM5399850,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399851,GSM5399851,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399852,GSM5399852,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399853,GSM5399853,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399854,GSM5399854,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399855,GSM5399855,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399856,GSM5399856,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399857,GSM5399857,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399858,GSM5399858,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399859,GSM5399859,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399860,GSM5399860,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399861,GSM5399861,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399862,GSM5399862,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399863,GSM5399863,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399864,GSM5399864,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399865,GSM5399865,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399866,GSM5399866,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399867,GSM5399867,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399868,GSM5399868,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399869,GSM5399869,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399870,GSM5399870,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399871,GSM5399871,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399872,GSM5399872,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399873,GSM5399873,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399874,GSM5399874,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399875,GSM5399875,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399876,GSM5399876,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399877,GSM5399877,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399878,GSM5399878,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399879,GSM5399879,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399880,GSM5399880,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399881,GSM5399881,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399882,GSM5399882,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399883,GSM5399883,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399884,GSM5399884,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399885,GSM5399885,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399886,GSM5399886,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399887,GSM5399887,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399888,GSM5399888,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399889,GSM5399889,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399890,GSM5399890,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
GSE178882,GSM5399891,GSM5399891,10x 5',vdj,unspecified_ab_or_gd,true,PBMC; cell type: PBMC
