leiden,n_cells,old_label,new_label,changed,treg_marker_mean,cd4_marker_mean,cd8_marker_mean,nk_marker_mean,tcell_marker_mean,paired_gd_fraction,phase4_trd_minus_trab_median,gdt_rule,nk_rule,treg_rule,cd8_rule,cd4_rule,n_gses,paired_ab_fraction,phase4_trd_score_median,phase4_trab_score_median,gdt_marker_mean,treg_cd4_ge_cd8,treg_nk_low
16,262628,Treg,CD8_T,True,0.3627763390541076,0.0,2.44394326210022,1.0201274156570437,1.2737575769424438,0.003107056368704,-0.0007164422422647,False,False,False,True,False,31,0.0614290936229191,-0.0400705225765705,-0.0411427207291126,0.0,False,False
19,34596,Treg,CD8_T,True,0.3038396835327148,0.6630271673202515,1.5095372200012207,0.433466762304306,1.427048921585083,0.0026303618915481,0.0164943244308233,False,False,False,True,False,28,0.0238177824025898,-0.0301446430385112,-0.0490427315235137,0.0,False,False
11,615707,CD4_T,CD4_T,False,0.0,1.5266317129135132,0.0,0.0,1.0888311862945557,0.0003004675925399,0.0022608982399106,False,False,False,False,True,30,0.4926044368506448,-0.0345148183405399,-0.037157941609621,0.0,True,True
3,530147,CD8_T,CD8_T,False,0.0,0.3763015568256378,1.851546049118042,0.6590979695320129,1.162418007850647,0.0051872405200821,0.0070427693426609,False,False,False,True,False,30,0.2044885663787591,-0.0335335806012153,-0.0420755892992019,0.0,False,False
10,465413,CD4_T,CD4_T,False,0.0,1.393742322921753,0.0,0.0,1.082517385482788,0.00093680236693,0.0042670555412769,False,False,False,False,True,30,0.3481896723984933,-0.0329542234539985,-0.0376505926251411,0.0,True,True
9,453368,CD8_T,CD8_T,False,0.0,0.0,1.669079303741455,3.059014320373535,0.8614311218261719,0.0040408674630763,0.0473387762904167,False,False,False,True,False,30,0.033696687900337,-0.0218251664191484,-0.0669590830802917,0.0,False,False
4,354509,CD4_T,CD4_T,False,0.0,1.1187341213226318,0.5604546070098877,0.0,1.0958869457244873,0.0025020521340784,0.007143847644329,False,False,False,False,True,30,0.3735194311004798,-0.0360088795423507,-0.0440567210316658,0.0,True,True
8,327887,CD4_T,CD4_T,False,0.0,0.5293631553649902,0.2349841445684433,0.0,0.2646889984607696,0.000914949357553,0.0085182189941406,False,False,False,False,True,30,0.0682796207229929,-0.039940271526575,-0.0505489744246006,0.0,True,True
1,319540,Treg,Treg,False,0.7245356440544128,1.0262006521224976,0.0,0.0,1.173225998878479,0.0003035613694686,-0.0080878566950559,False,False,True,False,True,29,0.3384020779871065,-0.0397040285170078,-0.0324412174522876,0.0,True,True
12,304966,CD8_T,CD8_T,False,0.0,0.0,2.506847858428955,2.129648208618164,1.297743558883667,0.0015772250021313,-0.0003819051198661,False,False,False,True,False,30,0.3013909747316094,-0.0329069197177886,-0.0340136624872684,0.0,False,False
