source_gse_id,n_cells
HRA005041,27603
GDT_2020AUG_woCOV,12798
GSE254249,8511
GSE243013,5631
GSE206325,4734
GSE144469,4443
GSE228597,3281
GSE212217,3056
GSE243905,2683
MalteGDT,2089
GSE252762,2004
GSE254176,1358
GSE235863,1273
GSE287301,1154
GSE243572,791
GSE301528,738
GDTlung2023july_7p,633
GSE162498,629
GSE125527,623
GSE188620,585
GSE311112,443
GSE267645,429
GSE178882,400
GSE287541,156
GSE145926,149
GSE234069,79
GSE308075,78
GSE240865,57
GSE211504,16
GSE171037,12
GSE190870,1
