cohort_id,field,value,cell_count
GSE169246,library_id,Pre_P005_b,4850
GSE169246,library_id,Pre_P005_t,4009
GSE169246,library_id,Pre_P007_b,4565
GSE169246,library_id,Pre_P007_t,4743
GSE169246,library_id,Pre_P008_b,4856
GSE169246,library_id,Pre_P010_b,4901
GSE169246,library_id,Pre_P011_b,2687
GSE169246,library_id,Pre_P012_b,204
GSE169246,library_id,Pre_P012_t,5273
GSE169246,library_id,Pre_P013_b,5895
GSE169246,library_id,Pre_P013_t,96
GSE169246,library_id,Pre_P014_b,4670
GSE169246,library_id,Pre_P016_b,5484
GSE169246,library_id,Pre_P016_t,1821
GSE169246,library_id,Pre_P017_b,2851
GSE169246,library_id,Pre_P017_t,1445
GSE169246,library_id,Pre_P018_b,370
GSE169246,library_id,Pre_P018_t,1471
GSE169246,library_id,Pre_P019_b,2535
GSE169246,library_id,Pre_P019_t,15871
GSE169246,library_id,Pre_P020_b,5392
GSE169246,library_id,Pre_P020_t,5339
GSE169246,library_id,Pre_P022_b,3958
GSE169246,library_id,Pre_P022_t,5379
GSE169246,library_id,Pre_P023_b,7340
GSE169246,library_id,Pre_P023_t,2567
GSE169246,library_id,Pre_P024_b,5559
GSE169246,library_id,Pre_P025_b,7040
GSE169246,library_id,Pre_P025_t,5175
GSE169246,library_id,Pre_P028_b,3721
GSE169246,library_id,Prog_P002_b,5981
GSE169246,library_id,Prog_P004_b,5132
GSE169246,library_id,Prog_P007_b,9766
GSE169246,library_id,Prog_P007_t,29
GSE169246,library_id,Prog_P008_b,7170
GSE169246,library_id,Prog_P010_b,6051
GSE169246,library_id,Prog_P013_b,8568
GSE169246,library_id,Prog_P013_t,6581
GSE169246,library_id,Prog_P016_b,5166
GSE169246,patient_id,P001,7479
GSE169246,patient_id,P002,23919
GSE169246,patient_id,P003,3817
GSE169246,patient_id,P004,21113
GSE169246,patient_id,P005,16608
GSE169246,patient_id,P007,22319
GSE169246,patient_id,P008,14895
GSE169246,patient_id,P010,15236
GSE169246,patient_id,P011,6946
GSE169246,patient_id,P012,14414
GSE169246,patient_id,P013,33471
GSE169246,patient_id,P014,10919
GSE169246,patient_id,P016,17669
GSE169246,patient_id,P017,9626
GSE169246,patient_id,P018,10120
GSE169246,patient_id,P019,32575
GSE169246,patient_id,P020,13484
GSE169246,patient_id,P022,15557
GSE169246,patient_id,P023,22283
GSE169246,patient_id,P024,11767
GSE169246,patient_id,P025,26435
GSE169246,patient_id,P028,3721
GSE169246,sample_id,P001.Post,4711
GSE169246,sample_id,P001.Pre,2768
GSE169246,sample_id,P002.Post,9329
GSE169246,sample_id,P002.Pre,8609
GSE169246,sample_id,P003.Post,3817
GSE169246,sample_id,P004.Post,7541
GSE169246,sample_id,P004.Pre,8440
GSE169246,sample_id,P005.Post,7749
GSE169246,sample_id,P005.Pre,8859
GSE169246,sample_id,P007.Post,3216
GSE169246,sample_id,P007.Pre,9308
GSE169246,sample_id,P008.Post,2869
GSE169246,sample_id,P008.Pre,4856
GSE169246,sample_id,P010.Post,4284
GSE169246,sample_id,P010.Pre,4901
GSE169246,sample_id,P011.Post,4259
GSE169246,sample_id,P011.Pre,2687
GSE169246,sample_id,P012.Post,8937
GSE169246,sample_id,P012.Pre,5477
GSE169246,sample_id,P013.Post,12331
GSE169246,sample_id,P013.Pre,5991
GSE169246,sample_id,P014.Post,6249
GSE169246,sample_id,P014.Pre,4670
GSE169246,sample_id,P016.Post,5198
GSE169246,sample_id,P016.Pre,7305
GSE169246,sample_id,P017.Post,5330
GSE169246,sample_id,P017.Pre,4296
GSE169246,sample_id,P018.Post,8279
GSE169246,sample_id,P018.Pre,1841
GSE169246,sample_id,P019.Post,14169
GSE169246,sample_id,P019.Pre,18406
GSE169246,sample_id,P020.Post,2753
GSE169246,sample_id,P020.Pre,10731
GSE169246,sample_id,P022.Post,6220
GSE169246,sample_id,P022.Pre,9337
GSE169246,sample_id,P023.Post,12376
GSE169246,sample_id,P023.Pre,9907
GSE169246,sample_id,P024.Post,6208
GSE169246,sample_id,P024.Pre,5559
GSE169246,sample_id,P025.Post,14220
GSE169246,sample_id,P025.Pre,12215
GSE169246,sample_id,P028.Pre,3721
GSE169246,sample_id,Prog_P002_b,5981
GSE169246,sample_id,Prog_P004_b,5132
GSE169246,sample_id,Prog_P007_b,9766
GSE169246,sample_id,Prog_P007_t,29
GSE169246,sample_id,Prog_P008_b,7170
GSE169246,sample_id,Prog_P010_b,6051
GSE169246,sample_id,Prog_P013_b,8568
GSE169246,sample_id,Prog_P013_t,6581
GSE169246,sample_id,Prog_P016_b,5166
GSE169246,source_accession,GSE169246,354373
GSE169246,source_gse_id,GSE169246,354373
GSE169246,specimen_context,metastatic_tumor,148452
GSE169246,specimen_context,other_tissue,118042
GSE169246,specimen_context,primary_tumor,87879
GSE169246,timepoint_group,<blank>,118042
GSE169246,timepoint_group,Post-treatment,110708
GSE169246,timepoint_group,Pre-treatment,125623
GSE169246,tissue,<blank>,118042
GSE169246,tissue,breast,87879
GSE169246,tissue,chest_wall,42698
GSE169246,tissue,liver,34930
GSE169246,tissue,lung,4901
GSE169246,tissue,lymph_node,65923
GSE169246,tissue_harmonized,breast,87879
GSE169246,tissue_harmonized,chest_wall,42698
GSE169246,tissue_harmonized,liver,34930
GSE169246,tissue_harmonized,lung,4901
GSE169246,tissue_harmonized,lymph_node,65923
GSE169246,tissue_harmonized,unresolved,118042
GSE169246,treatment,<blank>,118042
GSE169246,treatment,PTX,110018
GSE169246,treatment,PTX+Anti-PD-L1,126313
GSE292700,diagnosis,lung_adenocarcinoma,78254
GSE292700,donor_id,LC001,37141
GSE292700,donor_id,LC002,41113
GSE292700,library_id,GSM8863830_BRCA2-mutant_tumors,13041
GSE292700,library_id,GSM8863831_BRCA2-mutant_paracancerous,18617
GSE292700,library_id,GSM8863832_BRCA2-mutant_peripheral_blood,5483
GSE292700,library_id,GSM8863833_BRCA1-mutant_tumors,11250
GSE292700,library_id,GSM8863834_BRCA1-mutant_paracancerous,13698
GSE292700,library_id,GSM8863835_BRCA1-mutant_peripheral_blood,16165
GSE292700,sample_id,BRCA1-mutant_paracancerous,13698
GSE292700,sample_id,BRCA1-mutant_peripheral_blood,16165
GSE292700,sample_id,BRCA1-mutant_tumors,11250
GSE292700,sample_id,BRCA2-mutant_paracancerous,18617
GSE292700,sample_id,BRCA2-mutant_peripheral_blood,5483
GSE292700,sample_id,BRCA2-mutant_tumors,13041
GSE292700,source_accession,GSE292700,78254
GSE292700,source_gse_id,GSE292700,78254
GSE292700,specimen_context,adjacent_non_tumor,32315
GSE292700,specimen_context,blood,21648
GSE292700,specimen_context,primary_tumor,24291
GSE292700,tissue,adjacent_tissue,32315
GSE292700,tissue,blood,21648
GSE292700,tissue,tumor,24291
GSE292700,tissue_harmonized,adjacent_tissue,32315
GSE292700,tissue_harmonized,blood,21648
GSE292700,tissue_harmonized,tumor,24291
GSE294273_GSE294274,diagnosis,melanoma,55744
GSE294273_GSE294274,donor_id,HM002,3137
GSE294273_GSE294274,donor_id,HM004,6369
GSE294273_GSE294274,donor_id,HM005,6683
GSE294273_GSE294274,donor_id,HM006,8964
GSE294273_GSE294274,donor_id,HM009,4526
GSE294273_GSE294274,donor_id,HM012,4525
GSE294273_GSE294274,donor_id,HM014,4604
GSE294273_GSE294274,donor_id,HM019,1626
GSE294273_GSE294274,donor_id,HM026,3363
GSE294273_GSE294274,donor_id,HM028,3100
GSE294273_GSE294274,donor_id,HM035,5678
GSE294273_GSE294274,donor_id,HM038,3169
GSE294273_GSE294274,library_id,GSM8901614_HM002,3137
GSE294273_GSE294274,library_id,GSM8901615_HM004,6369
GSE294273_GSE294274,library_id,GSM8901616_HM005,6683
GSE294273_GSE294274,library_id,GSM8901617_HM006,8964
GSE294273_GSE294274,library_id,GSM8901618_HM009,4526
GSE294273_GSE294274,library_id,GSM8901619_HM012,4525
GSE294273_GSE294274,library_id,GSM8901620_HM014,4604
GSE294273_GSE294274,library_id,GSM8901621_HM019,1626
GSE294273_GSE294274,library_id,GSM8901622_HM026,3363
GSE294273_GSE294274,library_id,GSM8901623_HM028,3100
GSE294273_GSE294274,library_id,GSM8901624_HM035,5678
GSE294273_GSE294274,library_id,GSM8901625_HM038,3169
GSE294273_GSE294274,sample_id,HM002,3137
GSE294273_GSE294274,sample_id,HM004,6369
GSE294273_GSE294274,sample_id,HM005,6683
GSE294273_GSE294274,sample_id,HM006,8964
GSE294273_GSE294274,sample_id,HM009,4526
GSE294273_GSE294274,sample_id,HM012,4525
GSE294273_GSE294274,sample_id,HM014,4604
GSE294273_GSE294274,sample_id,HM019,1626
GSE294273_GSE294274,sample_id,HM026,3363
GSE294273_GSE294274,sample_id,HM028,3100
GSE294273_GSE294274,sample_id,HM035,5678
GSE294273_GSE294274,sample_id,HM038,3169
GSE294273_GSE294274,source_accession,GSE294273,55744
GSE294273_GSE294274,source_gse_id,GSE294273,55744
GSE294273_GSE294274,specimen_context,metastatic_tumor,55744
GSE294273_GSE294274,tissue,lymph_node_metastasis,55744
GSE294273_GSE294274,tissue_harmonized,lymph_node_metastasis,55744
GSE296954,diagnosis,head_and_neck_squamous_cell_carcinoma,86608
GSE296954,donor_id,patient_1,6410
GSE296954,donor_id,patient_12,6264
GSE296954,donor_id,patient_14,5957
GSE296954,donor_id,patient_17,5514
GSE296954,donor_id,patient_18,1572
GSE296954,donor_id,patient_19,15493
GSE296954,donor_id,patient_2,7702
GSE296954,donor_id,patient_20,6362
GSE296954,donor_id,patient_21,7822
GSE296954,donor_id,patient_5,18608
GSE296954,donor_id,patient_8,4904
GSE296954,library_id,GSM8980312_1A,2096
GSE296954,library_id,GSM8980313_1B,4314
GSE296954,library_id,GSM8980314_2A,2779
