source_gse_id,leiden,cells,target_cells,selection_fraction
GSE139555,9,7003,326,0.04655147793802656
GSE161918,21,6935,322,0.046431146359048305
GSE243013,16,6920,322,0.04653179190751445
GSE254249,13,6860,319,0.04650145772594752
GSE178882,9,6690,311,0.04648729446935725
GSE243905,0,6667,310,0.04649767511624419
GSE211504,2,6643,309,0.04651512870690953
GSE139555,8,6625,308,0.046490566037735846
GSE179994,12,6409,298,0.04649711343423311
GSE254249,22,6400,297,0.04640625
GSE254249,3,6371,296,0.04646052425051012
GSE162498,22,6337,295,0.04655199621271895
GSE235863,4,6328,294,0.046460176991150445
GSE241783,21,6314,293,0.046404814697497625
GSE144469,15,6272,291,0.046396683673469385
GSE243572,17,6246,290,0.04642971501761127
GSE254249,4,6235,290,0.046511627906976744
GSE155222,9,6206,288,0.04640670319046084
GSE171037,16,6188,288,0.04654169360051713
GSE155223,2,6166,287,0.04654557249432371
GSE243013,7,6006,279,0.046453546453546456
GSE188620,26,5985,278,0.04644945697577277
GSE162498,20,5947,276,0.046409954598957456
GSE155222,2,5889,274,0.04652742401086772
GSE267645,3,5885,273,0.04638912489379779
GSE243905,5,5866,273,0.046539379474940336
GSE125527,11,5815,270,0.046431642304385214
GSE188620,14,5774,268,0.046414963630065816
GSE243013,9,5764,268,0.046495489243580844
GSE161918,6,5702,265,0.046474921080322695
GSE168859,21,5679,264,0.04648705758055996
GSE287301,26,5574,259,0.04646573376390384
GSE234069,10,5562,258,0.04638619201725998
GSE178882,26,5555,258,0.04644464446444645
GSE188620,19,5538,257,0.046406644998194295
GSE235863,20,5505,256,0.04650317892824705
GSE267645,17,5439,253,0.0465159036587608
GSE267645,14,5424,252,0.046460176991150445
GSE301528,8,5371,250,0.04654626698938745
GSE243905,11,5317,247,0.04645476772616137
GSE235863,9,5281,245,0.04639272864987692
GSE254176,17,5241,243,0.04636519748139668
GSE168163,0,5227,243,0.0464893820547159
GSE228597,14,5174,240,0.04638577502899111
GSE188620,0,5112,237,0.04636150234741784
GSE168859,8,5057,235,0.04647023927229583
GSE301528,26,5037,234,0.04645622394282311
GSE155222,26,4993,232,0.0464650510715001
GSE243013,1,4990,232,0.04649298597194389
GSE241783,8,4951,230,0.04645526156332054
GSE168859,24,4948,230,0.04648342764753436
GSE162498,10,4941,230,0.04654928152195912
GSE179994,2,4837,225,0.04651643580731859
GSE311112,10,4825,224,0.046424870466321246
GSE171037,26,4821,224,0.04646338933831155
GSE125527,8,4815,224,0.04652128764278297
GSE179994,6,4790,223,0.0465553235908142
GSE228597,5,4756,221,0.04646761984861228
GSE287301,9,4716,219,0.04643765903307888
GSE232240,20,4657,216,0.046381790852480134
GSE168859,0,4648,216,0.04647160068846816
GSE155222,8,4646,216,0.04649160568230736
GSE168163,5,4595,213,0.04635473340587595
GSE212217,5,4590,213,0.046405228758169936
GSE139555,16,4507,209,0.046372309740403815
GSE144469,21,4490,209,0.0465478841870824
GSE243905,6,4361,203,0.04654895666131621
GSE179994,13,4336,201,0.046356088560885605
GSE178882,3,4317,200,0.0463284688441047
GSE162498,13,4300,200,0.046511627906976744
GSE139555,3,4206,195,0.046362339514978604
GSE211504,26,4123,191,0.0463254911472229
GSE232240,10,4117,191,0.04639300461501093
GSE243905,19,4091,190,0.04644341236861403
GSE254249,15,4072,189,0.046414538310412576
GSE228597,7,4022,187,0.046494281452013925
GSE211504,14,4019,187,0.04652898731027619
GSE179994,4,4017,187,0.046552153348269856
GSE221776,26,3973,184,0.046312610118298514
GSE179994,16,3918,182,0.046452271567126086
GSE162498,4,3875,180,0.04645161290322581
GSE168859,7,3871,180,0.04649961250322914
GSE228597,23,3870,180,0.046511627906976744
GSE228597,19,3852,179,0.04646936656282451
GSE221776,4,3757,174,0.04631354804365185
GSE168163,10,3752,174,0.04637526652452026
GSE212217,21,3743,174,0.046486775313919315
GSE301528,2,3723,173,0.046467902229384905
GSE301528,17,3666,170,0.0463720676486634
GSE232240,22,3642,169,0.04640307523338825
GSE311112,9,3638,169,0.046454095656954374
GSE188620,10,3556,165,0.04640044994375703
GSE301528,10,3497,162,0.046325421790105806
GSE221776,5,3478,161,0.04629097182288672
GSE287301,7,3461,161,0.046518347298468654
GSE229858,2,3459,161,0.0465452442902573
GSE287301,8,3410,158,0.04633431085043988
GSE301528,3,3393,157,0.04627173592690834
GSE211504,13,3384,157,0.04639479905437352
GSE144469,7,3362,156,0.04640095181439619
GSE144469,13,3345,155,0.04633781763826607
GSE221776,9,3323,154,0.04634366536262414
GSE161918,7,3313,154,0.04648354965288258
GSE243572,14,3295,153,0.0464339908952959
GSE308075,13,3282,152,0.04631322364411944
GSE243572,13,3278,152,0.04636973764490543
GSE235863,16,3270,152,0.046483180428134555
GSE168859,5,3254,151,0.04640442532267978
GSE287541,21,3253,151,0.04641869043959422
GSE139555,17,3250,151,0.046461538461538464
GSE161918,15,3238,150,0.04632489190858555
GSE139555,5,3231,150,0.04642525533890436
GSE243572,16,3217,149,0.04631644389182468
GSE267645,10,3211,149,0.04640298972282778
GSE241783,26,3176,147,0.04628463476070529
GSE155223,10,3152,146,0.04631979695431472
GSE178882,13,3121,145,0.04645946811919257
GSE241783,3,3108,144,0.04633204633204633
GSE243572,10,3049,141,0.046244670383732374
GSE212217,6,3043,141,0.04633585277686494
GSE125527,10,2981,138,0.04629319020462932
GSE179994,11,2955,137,0.046362098138747886
GSE212217,19,2941,136,0.046242774566473986
GSE243905,13,2881,134,0.046511627906976744
GSE267645,19,2873,133,0.04629307344239471
GSE254249,11,2853,132,0.046267087276550996
GSE287541,14,2839,132,0.04649524480450863
GSE232240,21,2827,131,0.04633887513264945
GSE254249,7,2804,130,0.046362339514978604
GSE211504,10,2791,129,0.04621999283410964
GSE188620,5,2778,129,0.04643628509719223
GSE161918,11,2716,126,0.04639175257731959
GSE155223,0,2713,126,0.04644305197198673
GSE243572,18,2661,123,0.046223224351747465
GSE254176,3,2614,121,0.046289211935730684
GSE155223,3,2599,120,0.0461716044632551
GSE211504,19,2589,120,0.046349942062572425
GSE161918,24,2576,119,0.04619565217391304
GSE155222,3,2528,117,0.04628164556962025
GSE212217,3,2526,117,0.04631828978622328
GSE243905,24,2522,117,0.04639175257731959
GSE168859,13,2495,116,0.04649298597194389
GSE235863,6,2469,114,0.046172539489671933
GSE139555,13,2461,114,0.04632263307598537
GSE243905,18,2446,113,0.046197874080130825
GSE267645,4,2429,113,0.04652120214079868
GSE212217,0,2427,112,0.046147507210548
GSE243572,19,2402,111,0.04621149042464613
GSE144469,9,2377,110,0.04627681952040387
GSE125527,22,2376,110,0.046296296296296294
GSE178882,10,2363,110,0.04655099449851883
GSE125527,5,2356,109,0.04626485568760611
GSE301528,16,2350,109,0.04638297872340426
GSE179994,9,2323,108,0.04649160568230736
GSE243905,7,2311,107,0.046300302899177845
GSE243572,5,2289,106,0.04630843162953255
GSE155223,13,2266,105,0.04633715798764342
GSE308075,6,2262,105,0.046419098143236075
GSE168859,17,2261,105,0.04643962848297214
GSE235863,11,2253,104,0.0461606746560142
GSE188620,17,2229,103,0.0462090623598026
GSE171037,10,2223,103,0.04633378317588844
GSE240865,0,2215,103,0.046501128668171555
GSE221776,14,2175,101,0.0464367816091954
GSE162498,26,2119,98,0.04624823029731005
GSE155222,10,2105,97,0.04608076009501188
GSE243013,19,2092,97,0.046367112810707455
GSE168859,1,2081,96,0.04613166746756367
GSE243013,25,2068,96,0.04642166344294004
GSE311112,3,2061,95,0.046094129063561376
GSE301528,6,2042,95,0.0465230166503428
GSE228597,24,2035,94,0.046191646191646195
GSE311112,21,2013,93,0.046199701937406856
GSE243905,1,2007,93,0.04633781763826607
GSE188620,6,1971,91,0.046169457128361235
GSE287541,10,1965,91,0.04631043256997455
GSE267645,16,1956,91,0.04652351738241309
GSE168163,1,1932,89,0.04606625258799172
GSE287541,6,1920,89,0.04635416666666667
GSE179994,26,1914,89,0.04649947753396029
GSE125527,26,1910,88,0.04607329842931937
GSE178882,5,1881,87,0.046251993620414676
GSE125527,14,1879,87,0.04630122405534859
GSE240865,13,1872,87,0.046474358974358976
GSE145926,10,1845,85,0.04607046070460705
GSE168859,6,1820,84,0.046153846153846156
GSE168163,19,1799,83,0.04613674263479711
GSE178882,17,1772,82,0.046275395033860044
GSE228597,1,1772,82,0.046275395033860044
GSE235863,22,1759,81,0.04604889141557703
GSE211504,1,1754,81,0.046180159635119726
GSE168859,11,1741,81,0.04652498564043653
GSE287301,12,1736,80,0.04608294930875576
GSE162498,3,1734,80,0.0461361014994233
GSE241783,10,1731,80,0.046216060080878106
GSE162498,16,1723,80,0.046430644225188625
GSE144469,4,1713,79,0.04611792177466433
GSE243905,15,1709,79,0.04622586307782329
GSE243905,23,1694,78,0.04604486422668241
GSE254249,31,1694,78,0.04604486422668241
GSE234069,9,1686,78,0.046263345195729534
GSE243013,14,1677,78,0.046511627906976744
GSE267645,5,1662,77,0.04632972322503008
GSE125527,4,1660,77,0.0463855421686747
GSE162498,5,1652,76,0.04600484261501211
GSE139555,1,1647,76,0.0461445051608986
GSE211504,11,1635,76,0.046483180428134555
GSE179994,7,1635,76,0.046483180428134555
GSE301528,14,1608,74,0.046019900497512436
GSE287301,19,1579,73,0.04623179227359088
GSE228597,21,1574,73,0.04637865311308768
GSE232240,11,1571,73,0.046467218332272436
GSE188620,18,1561,72,0.04612427930813581
GSE155223,16,1537,71,0.04619388418998048
GSE287301,3,1519,70,0.04608294930875576
GSE308075,24,1518,70,0.0461133069828722
GSE125527,21,1515,70,0.0462046204620462
GSE171037,2,1513,70,0.046265697290152015
GSE228597,13,1504,70,0.04654255319148936
GSE228597,6,1499,69,0.046030687124749836
GSE161918,27,1480,68,0.04594594594594595
GSE254249,0,1478,68,0.046008119079837616
GSE229858,1,1457,67,0.04598490048043926
GSE155222,0,1444,67,0.046398891966759004
GSE241783,6,1444,67,0.046398891966759004
GSE287541,13,1441,67,0.046495489243580844
GSE212217,24,1436,66,0.04596100278551532
GSE171037,3,1433,66,0.046057222609909285
GSE162498,11,1395,64,0.045878136200716846
GSE155223,17,1393,64,0.04594400574300072
GSE188620,13,1385,64,0.046209386281588445
GSE243572,21,1382,64,0.04630969609261939
GSE254176,1,1365,63,0.046153846153846156
GSE301528,27,1365,63,0.046153846153846156
GSE145926,0,1356,63,0.046460176991150445
GSE254176,10,1348,62,0.04599406528189911
GSE287301,0,1331,61,0.04583020285499624
GSE241783,0,1322,61,0.046142208774583963
GSE287301,14,1318,61,0.04628224582701062
GSE243013,0,1317,61,0.0463173880030372
GSE232240,3,1311,61,0.04652936689549962
GSE188620,21,1307,60,0.045906656465187455
GSE212217,7,1293,60,0.04640371229698376
GSE232240,2,1288,59,0.04580745341614907
GSE254176,19,1260,58,0.046031746031746035
GSE232240,6,1246,58,0.04654895666131621
GSE301528,5,1245,57,0.04578313253012048
GSE178882,6,1244,57,0.04581993569131833
GSE235863,25,1242,57,0.04589371980676329
GSE144469,5,1225,57,0.04653061224489796
GSE267645,13,1207,56,0.0463960231980116
GSE221776,8,1206,56,0.04643449419568822
GSE254176,7,1195,55,0.04602510460251046
GSE168163,11,1186,55,0.046374367622259695
GSE162498,1,1181,54,0.04572396274343776
GSE162498,14,1179,54,0.04580152671755725
GSE267645,21,1170,54,0.046153846153846156
GSE144469,1,1149,53,0.04612706701479547
GSE155222,17,1133,52,0.04589585172109444
GSE254176,13,1132,52,0.045936395759717315
GSE287541,19,1128,52,0.04609929078014184
GSE221776,13,1125,52,0.04622222222222222
GSE232240,8,1119,52,0.04647006255585344
GSE212217,18,1115,51,0.045739910313901344
GSE254176,24,1108,51,0.046028880866425995
GSE287541,5,1097,51,0.04649042844120328
GSE178882,0,1092,50,0.045787545787545784
GSE254249,27,1092,50,0.045787545787545784
GSE139555,14,1075,50,0.046511627906976744
GSE179994,0,1066,49,0.04596622889305816
GSE155223,1,1063,49,0.04609595484477893
GSE139555,0,1060,49,0.04622641509433962
GSE254249,24,1060,49,0.04622641509433962
GSE168163,13,1044,48,0.04597701149425287
GSE168163,8,1029,47,0.0456754130223518
GSE252762,10,1016,47,0.04625984251968504
GSE212217,17,1015,47,0.04630541871921182
GSE241783,19,1012,47,0.046442687747035576
GSE301528,0,1009,46,0.04558969276511397
GSE254176,21,1004,46,0.045816733067729085
GSE243572,1,990,46,0.046464646464646465
GSE308075,7,990,46,0.046464646464646465
GSE287541,16,977,45,0.04605936540429888
GSE243013,24,967,45,0.04653567735263702
GSE212217,23,964,44,0.04564315352697095
GSE168859,23,962,44,0.04573804573804574
GSE267645,15,956,44,0.04602510460251046
GSE267645,0,956,44,0.04602510460251046
GSE254249,1,954,44,0.04612159329140461
GSE235863,1,954,44,0.04612159329140461
GSE287541,18,945,43,0.0455026455026455
GSE178882,21,928,43,0.04633620689655173
GSE235863,19,917,42,0.04580152671755725
GSE287541,1,909,42,0.0462046204620462
GSE145926,20,904,42,0.046460176991150445
GSE188620,1,897,41,0.045707915273132664
GSE179994,1,894,41,0.04586129753914989
GSE162498,19,891,41,0.04601571268237935
GSE155222,13,883,41,0.0464326160815402
GSE139555,19,878,40,0.04555808656036447
GSE212217,11,872,40,0.045871559633027525
GSE144469,24,867,40,0.0461361014994233
GSE155223,7,866,40,0.046189376443418015
GSE221776,1,859,39,0.04540162980209546
GSE243572,7,851,39,0.045828437132784956
GSE267645,7,851,39,0.045828437132784956
GSE287541,24,851,39,0.045828437132784956
GSE254249,16,844,39,0.0462085308056872
GSE161918,20,836,38,0.045454545454545456
GSE254176,6,834,38,0.045563549160671464
GSE145926,9,832,38,0.04567307692307692
GSE144469,6,830,38,0.04578313253012048
GSE155223,5,829,38,0.045838359469240045
GSE254249,23,828,38,0.04589371980676329
GSE243572,6,820,38,0.046341463414634146
GSE145926,7,817,38,0.046511627906976744
GSE168163,24,808,37,0.04579207920792079
GSE254176,15,783,36,0.04597701149425287
GSE228597,11,779,36,0.04621309370988447
GSE267645,6,769,35,0.045513654096228866
GSE178882,14,751,34,0.045272969374167776
GSE221776,7,750,34,0.04533333333333334
GSE267645,24,745,34,0.04563758389261745
GSE139555,7,740,34,0.04594594594594595
GSE144469,17,721,33,0.04576976421636616
GSE243013,23,716,33,0.046089385474860335
GSE171037,8,708,32,0.04519774011299435
GSE144469,27,705,32,0.04539007092198582
GSE155222,7,692,32,0.046242774566473986
GSE188620,27,691,32,0.04630969609261939
GSE144469,14,685,31,0.04525547445255475
GSE243905,22,677,31,0.04579025110782865
GSE241783,13,676,31,0.04585798816568047
GSE155223,21,670,31,0.04626865671641791
GSE311112,16,670,31,0.04626865671641791
GSE179994,25,658,30,0.04559270516717325
GSE168163,21,652,30,0.046012269938650305
GSE179994,14,650,30,0.046153846153846156
GSE235863,7,650,30,0.046153846153846156
GSE241783,20,645,30,0.046511627906976744
GSE188620,11,638,29,0.045454545454545456
GSE240865,3,638,29,0.045454545454545456
GSE287541,20,638,29,0.045454545454545456
GSE188620,7,631,29,0.04595879556259905
GSE162498,7,615,28,0.04552845528455285
GSE171037,21,614,28,0.04560260586319218
GSE125527,17,608,28,0.046052631578947366
GSE243572,24,608,28,0.046052631578947366
GSE139555,6,606,28,0.0462046204620462
GSE188620,24,600,27,0.045
GSE241783,22,596,27,0.04530201342281879
GSE145926,6,594,27,0.045454545454545456
GSE125527,15,587,27,0.04599659284497445
GSE287541,3,583,27,0.04631217838765009
GSE155222,21,581,27,0.04647160068846816
GSE211504,23,579,26,0.044905008635578586
GSE125527,6,577,26,0.045060658578856154
GSE232240,7,572,26,0.045454545454545456
GSE155222,16,564,26,0.04609929078014184
GSE311112,5,564,26,0.04609929078014184
GSE252762,23,563,26,0.046181172291296625
GSE155222,19,562,26,0.046263345195729534
GSE162498,12,560,26,0.04642857142857143
GSE301528,21,560,26,0.04642857142857143
GSE211504,8,556,25,0.044964028776978415
GSE168859,22,551,25,0.045372050816696916
GSE240865,8,541,25,0.04621072088724584
GSE125527,0,538,25,0.046468401486988845
GSE311112,14,534,24,0.0449438202247191
GSE232240,1,525,24,0.045714285714285714
GSE168163,3,518,24,0.04633204633204633
GSE311112,1,518,24,0.04633204633204633
GSE254176,18,516,24,0.046511627906976744
GSE155223,14,515,23,0.04466019417475728
GSE161918,22,510,23,0.045098039215686274
GSE252762,7,508,23,0.045275590551181105
GSE243905,20,505,23,0.04554455445544554
GSE254176,23,503,23,0.04572564612326044
GSE168859,18,499,23,0.04609218436873747
GSE125527,19,495,23,0.046464646464646465
GSE145926,22,491,22,0.04480651731160896
GSE155223,6,491,22,0.04480651731160896
GSE155222,5,485,22,0.04536082474226804
GSE232240,13,485,22,0.04536082474226804
GSE241783,5,485,22,0.04536082474226804
GSE144469,3,477,22,0.04612159329140461
GSE311112,6,476,22,0.046218487394957986
GSE171037,14,472,21,0.04449152542372881
GSE311112,19,470,21,0.04468085106382979
GSE308075,18,465,21,0.04516129032258064
GSE243905,27,462,21,0.045454545454545456
GSE155222,1,457,21,0.045951859956236324
GSE145926,1,447,20,0.0447427293064877
GSE311112,13,445,20,0.0449438202247191
GSE240865,24,445,20,0.0449438202247191
GSE144469,26,444,20,0.04504504504504504
GSE145926,8,442,20,0.04524886877828054
GSE145926,11,440,20,0.045454545454545456
GSE232240,26,439,20,0.04555808656036447
GSE168163,16,437,20,0.04576659038901602
GSE235863,0,433,20,0.046189376443418015
GSE145926,2,428,19,0.04439252336448598
GSE287541,0,428,19,0.04439252336448598
GSE243905,16,424,19,0.04481132075471698
GSE254176,0,423,19,0.04491725768321513
GSE178882,1,421,19,0.04513064133016627
GSE139555,12,410,19,0.046341463414634146
GSE243572,4,410,19,0.046341463414634146
GSE211504,5,407,18,0.044226044226044224
GSE252762,21,400,18,0.045
GSE235863,24,400,18,0.045
GSE308075,16,396,18,0.045454545454545456
GSE232240,27,394,18,0.04568527918781726
GSE267645,18,391,18,0.04603580562659847
GSE155222,14,389,18,0.04627249357326478
GSE254176,11,388,18,0.04639175257731959
GSE267645,1,385,17,0.04415584415584416
GSE287301,24,383,17,0.044386422976501305
GSE243013,17,380,17,0.04473684210526316
GSE311112,24,379,17,0.044854881266490766
GSE308075,1,375,17,0.04533333333333334
GSE155222,6,374,17,0.045454545454545456
GSE221776,23,374,17,0.045454545454545456
GSE155223,19,370,17,0.04594594594594595
