source_gse_id,leiden,cells,target_cells,selection_fraction
GSE267645,20,183,8,0.04371584699453552
GSE311112,11,183,8,0.04371584699453552
GSE243572,15,181,8,0.04419889502762431
GSE240865,21,179,8,0.0446927374301676
GSE168859,20,176,8,0.045454545454545456
GSE168163,23,174,8,0.04597701149425287
GSE178882,23,173,8,0.046242774566473986
GSE162498,24,171,7,0.04093567251461988
GSE287301,25,168,7,0.041666666666666664
GSE234069,23,165,7,0.04242424242424243
GSE178882,24,163,7,0.04294478527607362
GSE254249,25,162,7,0.043209876543209874
GSE311112,4,161,7,0.043478260869565216
GSE162498,17,160,7,0.04375
GSE144469,0,158,7,0.04430379746835443
GSE243905,4,156,7,0.04487179487179487
GSE229858,22,155,7,0.04516129032258064
GSE254176,27,153,7,0.0457516339869281
GSE301528,22,153,7,0.0457516339869281
GSE229858,13,151,7,0.046357615894039736
GSE254249,18,149,6,0.040268456375838924
GSE240865,16,146,6,0.0410958904109589
GSE178882,11,141,6,0.0425531914893617
GSE221776,6,140,6,0.04285714285714286
GSE212217,22,139,6,0.04316546762589928
GSE308075,23,139,6,0.04316546762589928
GSE229858,26,138,6,0.043478260869565216
GSE301528,24,138,6,0.043478260869565216
GSE287541,17,138,6,0.043478260869565216
GSE221776,12,137,6,0.043795620437956206
GSE179994,3,136,6,0.04411764705882353
GSE252762,26,135,6,0.044444444444444446
GSE308075,10,134,6,0.04477611940298507
GSE125527,20,133,6,0.045112781954887216
GSE144469,16,131,6,0.04580152671755725
GSE162498,23,130,6,0.046153846153846156
GSE171037,17,128,5,0.0390625
GSE267645,22,126,5,0.03968253968253968
GSE125527,24,125,5,0.04
GSE212217,4,124,5,0.04032258064516129
GSE308075,19,122,5,0.040983606557377046
GSE171037,25,120,5,0.041666666666666664
GSE308075,17,118,5,0.0423728813559322
GSE139555,25,113,5,0.04424778761061947
GSE145926,17,111,5,0.04504504504504504
GSE232240,24,110,5,0.045454545454545456
GSE155223,15,108,5,0.046296296296296294
GSE243013,3,108,5,0.046296296296296294
GSE145926,16,106,4,0.03773584905660377
GSE301528,7,105,4,0.0380952380952381
GSE243572,20,99,4,0.04040404040404041
GSE243572,23,95,4,0.042105263157894736
GSE287541,4,94,4,0.0425531914893617
GSE125527,7,93,4,0.043010752688172046
GSE243905,25,93,4,0.043010752688172046
GSE229858,11,91,4,0.04395604395604396
GSE308075,26,91,4,0.04395604395604396
GSE229858,21,87,4,0.04597701149425287
GSE252762,1,86,4,0.046511627906976744
GSE168163,18,85,3,0.03529411764705882
GSE234069,1,85,3,0.03529411764705882
GSE240865,10,85,3,0.03529411764705882
GSE171037,0,84,3,0.03571428571428571
GSE228597,20,84,3,0.03571428571428571
GSE301528,23,84,3,0.03571428571428571
GSE240865,4,84,3,0.03571428571428571
GSE171037,13,81,3,0.037037037037037035
GSE252762,8,79,3,0.0379746835443038
GSE145926,13,78,3,0.038461538461538464
GSE144469,19,77,3,0.03896103896103896
GSE212217,27,77,3,0.03896103896103896
GSE252762,9,77,3,0.03896103896103896
GSE235863,17,77,3,0.03896103896103896
GSE155222,27,76,3,0.039473684210526314
GSE212217,20,75,3,0.04
GSE234069,22,75,3,0.04
GSE232240,16,73,3,0.0410958904109589
GSE145926,26,72,3,0.041666666666666664
GSE235863,3,72,3,0.041666666666666664
GSE240865,19,72,3,0.041666666666666664
GSE287301,15,71,3,0.04225352112676056
GSE144469,25,69,3,0.043478260869565216
GSE155223,27,69,3,0.043478260869565216
GSE229858,9,68,3,0.04411764705882353
GSE155222,11,66,3,0.045454545454545456
GSE162498,15,65,3,0.046153846153846156
GSE171037,23,64,2,0.03125
GSE212217,15,63,2,0.031746031746031744
GSE171037,1,62,2,0.03225806451612903
GSE243572,22,62,2,0.03225806451612903
GSE155223,11,61,2,0.03278688524590164
GSE232240,14,61,2,0.03278688524590164
GSE228597,18,60,2,0.03333333333333333
GSE234069,16,60,2,0.03333333333333333
GSE211504,0,58,2,0.034482758620689655
GSE145926,5,57,2,0.03508771929824561
GSE252762,24,57,2,0.03508771929824561
GSE179994,17,57,2,0.03508771929824561
GSE240865,14,57,2,0.03508771929824561
GSE287301,17,57,2,0.03508771929824561
GSE162498,6,55,2,0.03636363636363636
GSE145926,27,54,2,0.037037037037037035
GSE155222,15,54,2,0.037037037037037035
GSE308075,4,54,2,0.037037037037037035
GSE125527,13,53,2,0.03773584905660377
GSE240865,18,52,2,0.038461538461538464
GSE188620,16,51,2,0.0392156862745098
GSE240865,6,51,2,0.0392156862745098
GSE178882,15,50,2,0.04
GSE308075,22,50,2,0.04
GSE145926,4,49,2,0.04081632653061224
GSE155222,23,49,2,0.04081632653061224
GSE144469,31,48,2,0.041666666666666664
GSE155223,23,48,2,0.041666666666666664
GSE221776,0,48,2,0.041666666666666664
GSE308075,11,47,2,0.0425531914893617
GSE168163,17,46,2,0.043478260869565216
GSE168859,27,46,2,0.043478260869565216
GSE235863,18,46,2,0.043478260869565216
GSE232240,19,45,2,0.044444444444444446
GSE252762,13,45,2,0.044444444444444446
GSE155222,4,44,2,0.045454545454545456
GSE155223,4,44,2,0.045454545454545456
GSE241783,16,44,2,0.045454545454545456
GSE311112,22,44,2,0.045454545454545456
GSE311112,27,43,2,0.046511627906976744
GSE243013,27,42,1,0.023809523809523808
GSE301528,20,42,1,0.023809523809523808
GSE125527,1,41,1,0.024390243902439025
GSE171037,6,41,1,0.024390243902439025
GSE308075,3,41,1,0.024390243902439025
GSE234069,19,41,1,0.024390243902439025
GSE241783,27,40,1,0.025
GSE221776,25,39,1,0.02564102564102564
GSE228597,17,39,1,0.02564102564102564
GSE308075,14,39,1,0.02564102564102564
GSE234069,0,37,1,0.02702702702702703
GSE145926,14,36,1,0.027777777777777776
GSE241783,4,36,1,0.027777777777777776
GSE240865,27,35,1,0.02857142857142857
GSE240865,11,34,1,0.029411764705882353
GSE301528,4,33,1,0.030303030303030304
GSE125527,23,32,1,0.03125
GSE168163,22,32,1,0.03125
GSE168859,12,32,1,0.03125
GSE171037,24,32,1,0.03125
GSE232240,17,32,1,0.03125
GSE241783,25,32,1,0.03125
GSE254176,20,32,1,0.03125
GSE228597,4,31,1,0.03225806451612903
GSE171037,7,30,1,0.03333333333333333
GSE232240,0,29,1,0.034482758620689655
GSE144469,12,28,1,0.03571428571428571
GSE211504,18,28,1,0.03571428571428571
GSE228597,22,28,1,0.03571428571428571
GSE229858,19,28,1,0.03571428571428571
GSE308075,8,28,1,0.03571428571428571
GSE311112,20,28,1,0.03571428571428571
GSE252762,6,27,1,0.037037037037037035
GSE234069,20,27,1,0.037037037037037035
GSE145926,24,26,1,0.038461538461538464
GSE155222,20,26,1,0.038461538461538464
GSE155223,20,26,1,0.038461538461538464
GSE228597,3,26,1,0.038461538461538464
GSE229858,14,26,1,0.038461538461538464
GSE232240,25,26,1,0.038461538461538464
GSE234069,7,25,1,0.04
GSE168163,4,24,1,0.041666666666666664
GSE252762,12,24,1,0.041666666666666664
GSE240865,23,24,1,0.041666666666666664
GSE252762,14,23,1,0.043478260869565216
GSE168163,6,22,1,0.045454545454545456
GSE232240,4,22,1,0.045454545454545456
GSE267645,12,22,1,0.045454545454545456
GSE267645,23,22,1,0.045454545454545456
GSE211504,17,20,1,0.05
GSE229858,8,20,1,0.05
GSE287301,27,20,1,0.05
GSE229858,5,19,1,0.05263157894736842
GSE254176,22,19,1,0.05263157894736842
GSE162498,25,18,1,0.05555555555555555
GSE162498,27,18,1,0.05555555555555555
GSE145926,25,17,1,0.058823529411764705
GSE178882,22,17,1,0.058823529411764705
GSE241783,17,17,1,0.058823529411764705
GSE125527,12,16,1,0.0625
GSE188620,22,16,1,0.0625
GSE243013,15,16,1,0.0625
GSE308075,27,16,1,0.0625
GSE188620,20,15,1,0.06666666666666667
GSE229858,6,15,1,0.06666666666666667
GSE229858,25,15,1,0.06666666666666667
GSE254176,16,15,1,0.06666666666666667
GSE171037,12,14,1,0.07142857142857142
GSE308075,0,14,1,0.07142857142857142
GSE190870,1,13,1,0.07692307692307693
GSE301528,25,13,1,0.07692307692307693
GSE301528,31,13,1,0.07692307692307693
GSE168163,20,12,1,0.08333333333333333
GSE171037,27,12,1,0.08333333333333333
GSE178882,4,12,1,0.08333333333333333
GSE178882,25,12,1,0.08333333333333333
GSE228597,25,12,1,0.08333333333333333
GSE311112,15,12,1,0.08333333333333333
GSE234069,25,12,1,0.08333333333333333
GSE252762,0,11,1,0.09090909090909091
GSE254176,4,11,1,0.09090909090909091
GSE235863,15,11,1,0.09090909090909091
GSE287301,31,11,1,0.09090909090909091
GSE162498,31,10,1,0.1
GSE168859,25,10,1,0.1
GSE211504,4,10,1,0.1
GSE240865,22,10,1,0.1
GSE125527,25,9,1,0.1111111111111111
GSE162498,18,9,1,0.1111111111111111
GSE179994,18,9,1,0.1111111111111111
GSE287301,18,8,1,0.125
GSE139555,18,7,1,0.14285714285714285
GSE161918,25,7,1,0.14285714285714285
GSE171037,15,7,1,0.14285714285714285
GSE211504,16,7,1,0.14285714285714285
GSE229858,0,7,1,0.14285714285714285
GSE243013,18,7,1,0.14285714285714285
GSE139555,31,6,1,0.16666666666666666
GSE211504,22,6,1,0.16666666666666666
GSE229858,24,6,1,0.16666666666666666
GSE301528,12,6,1,0.16666666666666666
GSE240865,15,6,1,0.16666666666666666
GSE155222,22,5,1,0.2
GSE178882,20,5,1,0.2
GSE211504,20,5,1,0.2
GSE211504,6,5,1,0.2
GSE221776,3,5,1,0.2
GSE228597,27,5,1,0.2
GSE252762,4,5,1,0.2
GSE179994,27,5,1,0.2
GSE234069,17,5,1,0.2
GSE234069,3,5,1,0.2
GSE125527,27,4,1,0.25
GSE155223,22,4,1,0.25
GSE168163,27,4,1,0.25
GSE178882,12,4,1,0.25
GSE243572,12,4,1,0.25
GSE252762,15,4,1,0.25
GSE234069,13,4,1,0.25
GSE287541,15,4,1,0.25
GSE168163,25,3,1,0.3333333333333333
GSE229858,4,3,1,0.3333333333333333
GSE243572,25,3,1,0.3333333333333333
GSE235863,27,3,1,0.3333333333333333
GSE125527,18,2,1,0.5
GSE190870,4,2,1,0.5
GSE190870,17,2,1,0.5
GSE211504,27,2,1,0.5
GSE241783,12,2,1,0.5
GSE252762,19,2,1,0.5
GSE308075,15,2,1,0.5
GSE179994,15,2,1,0.5
GSE234069,4,2,1,0.5
GSE287541,12,2,1,0.5
GSE145926,19,1,1,1.0
GSE145926,12,1,1,1.0
GSE190870,3,1,1,1.0
GSE211504,15,1,1,1.0
GSE221776,17,1,1,1.0
GSE221776,18,1,1,1.0
GSE221776,27,1,1,1.0
GSE229858,12,1,1,1.0
GSE229858,16,1,1,1.0
GSE232240,12,1,1,1.0
GSE241783,18,1,1,1.0
GSE243905,12,1,1,1.0
GSE252762,3,1,1,1.0
GSE252762,27,1,1,1.0
GSE254176,25,1,1,1.0
GSE234069,15,1,1,1.0
GSE240865,12,1,1,1.0
GSE287541,27,1,1,1.0
