score_name,n_cells,mean,std,min,p01,p05,median,p95,p99,max
phase4_tra_score,6443879,-0.011294041760265827,0.023014578968286514,-0.12194189429283142,-0.05103620886802673,-0.04148891940712929,-0.016217313706874847,0.033244889229536057,0.05499240756034851,0.48111921548843384
phase4_trb_score,6443879,-0.05568299442529678,0.04333503916859627,-0.18945001065731049,-0.14602358639240265,-0.1259603649377823,-0.057879481464624405,0.016451314091682434,0.04513958469033241,0.33521243929862976
phase4_trab_score,6443879,-0.05640595033764839,0.030740488320589066,-0.17199890315532684,-0.12045406550168991,-0.10523626953363419,-0.057510558515787125,-0.005575064569711685,0.014583555981516838,0.2733646631240845
phase4_trd_score,6443879,0.00016019761096686125,0.0849061980843544,-0.13367950916290283,-0.05474308878183365,-0.04144614562392235,-0.015509802848100662,0.15596820414066315,0.4154353737831116,1.4674190282821655
phase4_trd_minus_trab,6443879,0.05656621605157852,0.08883993327617645,-0.3343639075756073,-0.03328704833984375,-0.012196741998195648,0.04318384826183319,0.21572263538837433,0.4696583151817322,1.5275232791900635
phase4_trd_score_scaled,6443879,0.08359237015247345,0.05302996188402176,0.0,0.04930141568183899,0.057606298476457596,0.07380539178848267,0.18090561032295227,0.34296131134033203,1.0
phase4_trab_score_scaled,6443879,0.25954753160476685,0.06902333348989487,0.0,0.11573652923107147,0.14990592002868652,0.25706714391708374,0.37368085980415344,0.4189441204071045,1.0
phase4_trd_minus_trab_scaled,6443879,-0.1759549230337143,0.08490975946187973,-0.9466784000396729,-0.34421566128730774,-0.299175888299942,-0.17806358635425568,-0.05408462882041931,0.09174220263957977,0.7695584297180176
