strategy,threshold,n_cells,n_positive,n_negative,predicted_positive,tp_tune,fp_tune,tn,fn,precision_tune,recall_tune,specificity_tune,f1_tune,balanced_accuracy,mcc,fp_fraction_of_predictions,roc_auc,pr_auc,tcell_threshold,precision_validation,recall_validation,specificity_validation,f1_validation,fp_validation,tp_validation
v4_high_f1_tune,0.9233753681182861,77050,6021,71029,5933,5788,145,70884,233,0.9755604247429631,0.961302109284172,0.9979585802981881,0.9683787853438179,0.97963034479118,0.9657504586742613,0.02443957525703691,0.9985310953539873,0.9920050016094594,0.0028288569301366806,,,,,,
v4_high_purity_tune,0.9778469800949097,77050,6021,71029,5702,5639,63,70966,382,0.9889512451771308,0.9365553894701877,0.9991130383364542,0.9620404333361767,0.9678342139033209,0.959333545314295,0.01104875482286917,0.9985310953539873,0.9920050016094594,0.0028288569301366806,,,,,,
